method,h,error,c
InvMQ_poly,0.0125,1.52E-05,2.5
Gauss_poly,0.0125,1.52E-05,2.5
MQ_poly,0.00625,3.81E-06,2.5
InvMQ_poly,0.00625,3.81E-06,2.5
Gauss_poly,0.00625,3.81E-06,2.5
MQ_poly,0.2,0.003977436,2.6
InvMQ_poly,0.2,0.004364166,2.6
Gauss_poly,0.2,0.004152244,2.6
MQ_poly,0.1,0.000980454,2.6
InvMQ_poly,0.1,0.001008242,2.6
Gauss_poly,0.1,0.000991517,2.6
MQ_poly,0.05,0.000244158,2.6
InvMQ_poly,0.05,0.000245961,2.6
Gauss_poly,0.05,0.000244852,2.6
MQ_poly,0.025,6.10E-05,2.6
InvMQ_poly,0.025,6.11E-05,2.6
Gauss_poly,0.025,6.10E-05,2.6
MQ_poly,0.0125,1.52E-05,2.6
InvMQ_poly,0.0125,1.52E-05,2.6
Gauss_poly,0.0125,1.52E-05,2.6
MQ_poly,0.00625,3.81E-06,2.6
InvMQ_poly,0.00625,3.81E-06,2.6
Gauss_poly,0.00625,3.81E-06,2.6
MQ_poly,0.2,0.003981297,2.7
InvMQ_poly,0.2,0.004394698,2.7
Gauss_poly,0.2,0.004169258,2.7
MQ_poly,0.1,0.000980736,2.7
InvMQ_poly,0.1,0.001010596,2.7
Gauss_poly,0.1,0.000992639,2.7
MQ_poly,0.05,0.000244177,2.7
InvMQ_poly,0.05,0.000246116,2.7
Gauss_poly,0.05,0.000244923,2.7
MQ_poly,0.025,6.10E-05,2.7
InvMQ_poly,0.025,6.11E-05,2.7
Gauss_poly,0.025,6.10E-05,2.7
MQ_poly,0.0125,1.52E-05,2.7
InvMQ_poly,0.0125,1.52E-05,2.7
Gauss_poly,0.0125,1.52E-05,2.7
MQ_poly,0.00625,3.81E-06,2.7
InvMQ_poly,0.00625,3.81E-06,2.7
Gauss_poly,0.00625,3.81E-06,2.7
MQ_poly,0.2,0.003985262,2.8
InvMQ_poly,0.2,0.004426015,2.8
Gauss_poly,0.2,0.004186836,2.8
MQ_poly,0.1,0.000981027,2.8
InvMQ_poly,0.1,0.001013029,2.8
Gauss_poly,0.1,0.000993802,2.8
MQ_poly,0.05,0.000244196,2.8
InvMQ_poly,0.05,0.000246278,2.8
Gauss_poly,0.05,0.000244996,2.8
MQ_poly,0.025,6.10E-05,2.8
InvMQ_poly,0.025,6.11E-05,2.8
Gauss_poly,0.025,6.10E-05,2.8
MQ_poly,0.0125,1.52E-05,2.8
InvMQ_poly,0.0125,1.52E-05,2.8
Gauss_poly,0.0125,1.52E-05,2.8
MQ_poly,0.00625,3.81E-06,2.8
InvMQ_poly,0.00625,3.81E-06,2.8
Gauss_poly,0.00625,3.81E-06,2.8
MQ_poly,0.2,0.003989329,2.9
InvMQ_poly,0.2,0.004458096,2.9
Gauss_poly,0.2,0.004204972,2.9
MQ_poly,0.1,0.000981327,2.9
InvMQ_poly,0.1,0.00101554,2.9
Gauss_poly,0.1,0.000995004,2.9
MQ_poly,0.05,0.000244215,2.9
InvMQ_poly,0.05,0.000246444,2.9
Gauss_poly,0.05,0.000245073,2.9
MQ_poly,0.025,6.10E-05,2.9
InvMQ_poly,0.025,6.11E-05,2.9
Gauss_poly,0.025,6.10E-05,2.9
MQ_poly,0.0125,1.52E-05,2.9
InvMQ_poly,0.0125,1.52E-05,2.9
Gauss_poly,0.0125,1.52E-05,2.9
MQ_poly,0.00625,3.81E-06,2.9
InvMQ_poly,0.00625,3.81E-06,2.9
Gauss_poly,0.00625,3.81E-06,2.9
MQ_poly,0.2,0.003993496,3
InvMQ_poly,0.2,0.004490925,3
Gauss_poly,0.2,0.004223664,3
MQ_poly,0.1,0.000981637,3
InvMQ_poly,0.1,0.001018129,3
Gauss_poly,0.1,0.000996245,3
MQ_poly,0.05,0.000244236,3
InvMQ_poly,0.05,0.000246617,3
Gauss_poly,0.05,0.000245152,3
MQ_poly,0.025,6.10E-05,3
InvMQ_poly,0.025,6.11E-05,3
Gauss_poly,0.025,6.10E-05,3
MQ_poly,0.0125,1.52E-05,3
InvMQ_poly,0.0125,1.53E-05,3
Gauss_poly,0.0125,1.52E-05,3
MQ_poly,0.00625,3.81E-06,3
InvMQ_poly,0.00625,3.81E-06,3
Gauss_poly,0.00625,3.81E-06,3
